,county,sex,xiang,m001,m002,m003,m004,m005,m006,m007,m008,m009,m010,m011,m012,m015,m016,m017,m018,m021,m022,m023,m025,m027,m028,m029,m030,m031,m033,m035,m036,m037,m038,m039,m040,m041,m042,m043,m044,m045,m048,m049,m058,m059,m060,m061,m062,m063,m064,m065,m066,m067,m068,m069,m070,m071,m072,m073,m074,m075,m077,m086,m087,m088,m103,m104,m105,m106,m107,m113,m117
437,SA,F,3,21.64,123.36,172.73,443.12,12.0,56.86,316.16,11.49,126.97,50.68,184.58,181.53,16.92,87.92,1.94,6.87,0.0,5.99,1.39,10.92,10.1,37.54,6.91,0.0,21.46,0.0,,9.56,9.78,11.58,1.72,3.5,4.03,3.43,17.56,6.18,6.18,0.43,0.0,11.8,1.3,6.89,32.93,6.5,0.0,0.0,88.92,11.8,41.43,70.64,563.83,58.88,10.93,539.29,36.06,102.27,23.44,7.02,6.87,3.59,3.7,70.39,1.25,108.21,74.0,34.21,20.65,9.65
446,SB,F,3,18.61,194.39,190.88,430.52,15.87,63.58,349.45,15.19,81.06,68.1,216.58,150.4,16.32,74.33,3.25,10.22,0.0,8.4,4.84,7.47,205.83,86.05,11.79,1.09,17.5,0.7,,10.14,7.0,113.12,2.44,7.17,1.53,1.81,3.36,5.3,1.14,4.15,3.47,28.3,1.96,14.91,24.41,19.33,7.18,2.55,119.44,25.74,76.18,81.24,525.63,79.44,32.93,476.28,26.53,106.76,40.67,12.64,30.09,12.58,7.75,63.83,1.89,93.07,78.92,14.14,29.49,22.25
455,SC,F,3,20.78,191.01,257.87,498.81,17.42,75.82,399.33,16.71,99.48,71.66,260.3,228.36,38.47,121.62,8.42,12.16,0.0,7.72,2.61,3.73,113.3,54.48,14.46,0.72,16.55,0.8,,7.05,8.77,18.52,2.65,2.77,2.5,0.82,4.57,3.4,1.89,4.04,2.46,20.14,2.37,14.96,33.58,20.67,11.77,0.0,163.14,20.14,73.43,87.68,788.02,78.26,41.26,726.01,33.81,106.65,44.84,18.82,37.58,8.13,7.68,84.76,2.66,103.91,84.28,19.63,25.5,16.94
464,TA,F,3,31.49,259.45,305.35,698.48,16.56,60.72,617.62,15.68,80.86,87.53,373.82,273.54,31.54,104.26,11.51,19.33,0.0,8.79,3.25,8.82,77.09,52.02,30.41,0.23,20.55,0.0,,10.97,10.37,88.68,4.24,2.78,1.49,3.04,11.33,6.38,4.85,3.6,0.89,19.91,2.24,11.25,38.46,60.37,19.5,2.61,97.47,17.3,126.59,153.4,567.03,144.55,98.97,429.48,81.57,157.14,57.8,19.28,48.51,19.95,21.55,89.8,3.88,157.45,145.01,12.45,44.33,28.85
473,TC,F,3,20.45,121.13,202.35,442.37,17.39,99.95,405.26,16.98,37.11,40.65,230.71,269.61,23.74,90.93,5.64,31.85,0.0,7.45,3.22,1.31,42.1,123.26,17.11,0.0,22.66,13.64,,2.59,5.24,56.39,0.0,4.97,0.0,0.0,6.96,2.28,2.28,2.8,1.38,18.39,2.07,11.03,73.31,37.8,23.91,0.91,69.16,17.48,137.99,107.2,592.03,96.59,58.25,486.18,23.26,196.07,90.29,19.61,54.88,19.42,23.13,88.36,5.69,102.25,96.08,6.17,34.57,16.23
482,TD,F,3,16.48,109.02,176.69,367.58,13.79,48.76,349.72,13.3,17.86,48.64,231.88,152.06,20.72,78.68,0.73,18.22,0.0,9.63,1.88,2.8,29.69,19.93,4.62,0.82,32.45,0.0,,5.08,6.42,56.61,4.28,0.0,1.73,2.93,4.01,11.05,3.82,2.55,27.94,31.85,5.36,15.35,50.87,96.4,64.14,1.46,309.18,30.39,227.06,118.55,127.09,118.55,8.11,118.98,27.37,153.02,36.74,11.35,40.28,16.33,21.94,12.17,3.94,82.41,81.24,1.17,4.45,2.81
572,WA,F,3,11.7,120.73,128.17,274.94,10.79,55.03,243.93,10.47,31.01,32.56,144.61,130.96,16.05,96.82,5.66,12.17,0.0,7.98,3.55,2.03,121.65,98.58,6.35,1.65,32.95,0.0,,19.48,17.13,36.74,3.4,0.0,2.18,2.17,0.76,2.24,1.75,1.78,2.03,11.99,3.11,5.46,46.21,55.42,31.75,1.58,162.31,10.41,149.08,67.12,135.59,64.22,8.2,119.33,16.11,40.11,6.7,2.03,25.96,14.19,18.16,41.07,2.57,58.52,55.73,2.79,11.69,2.27
581,WB,F,3,20.43,78.18,218.67,439.08,12.3,67.12,409.37,11.83,29.72,46.34,248.31,127.28,21.9,74.1,14.48,18.33,0.0,13.44,3.59,0.0,205.89,72.13,11.3,0.0,10.12,0.0,,14.37,5.56,24.54,1.38,2.45,1.27,4.15,8.14,6.98,2.65,4.99,4.7,16.74,3.97,9.82,17.33,79.71,14.9,1.63,275.79,15.11,121.66,93.61,167.56,91.06,6.77,159.72,22.7,50.71,14.45,1.38,19.95,23.28,34.28,55.67,4.33,102.13,98.65,3.47,18.76,3.33
590,WC,F,3,22.4,189.4,181.17,477.61,10.6,53.45,454.1,10.46,23.51,14.15,317.01,252.84,28.8,150.7,6.07,10.23,0.0,8.64,0.95,3.87,26.41,9.6,0.0,0.0,5.18,0.0,,12.06,1.94,25.61,0.0,5.81,1.61,0.0,7.52,0.0,0.0,3.73,3.87,18.68,1.83,8.92,12.77,23.16,49.48,0.0,59.7,18.68,123.34,101.35,383.04,94.72,41.74,341.3,40.49,58.18,35.3,0.0,43.46,9.71,16.32,24.79,1.48,111.99,109.02,2.97,3.3,0.17
599,XA,F,3,13.61,85.23,119.6,287.11,13.06,70.61,226.75,12.63,60.36,43.06,142.33,119.07,8.98,60.0,4.72,11.09,0.0,5.31,2.29,0.0,28.07,55.22,8.15,0.68,26.83,0.0,,12.67,11.54,65.28,4.31,10.33,1.3,4.32,1.23,12.14,0.0,0.84,1.67,9.66,3.1,2.42,28.45,32.77,40.08,0.68,209.05,8.98,101.31,61.35,452.97,59.64,11.45,438.9,6.38,72.57,31.01,2.61,23.17,6.89,11.74,49.33,2.39,68.05,58.11,9.94,18.15,6.48
608,XB,F,3,25.79,182.44,286.46,584.29,17.23,106.26,512.17,16.49,72.12,74.68,312.03,262.27,33.84,95.35,11.2,29.87,0.0,4.89,2.97,0.0,6.47,168.91,11.9,0.0,21.88,8.45,,2.37,1.44,52.47,1.17,3.81,0.79,0.0,7.54,7.37,5.41,1.64,3.04,19.18,2.66,9.55,79.53,24.8,21.09,1.87,135.43,17.3,130.56,88.48,518.46,83.03,61.59,437.29,40.85,200.62,96.14,34.75,23.47,16.83,23.13,74.49,2.82,128.97,121.1,7.87,46.54,23.43
617,YA,F,3,12.38,88.46,149.67,287.72,15.81,65.08,265.8,15.53,21.93,28.29,144.9,153.71,12.99,49.28,10.57,24.2,0.0,9.08,3.34,0.87,80.28,85.94,15.6,0.62,26.34,1.16,,16.58,8.03,75.57,3.43,1.35,2.77,2.2,4.0,2.74,0.35,0.65,2.27,17.33,3.5,5.86,63.47,46.9,31.52,2.45,188.04,14.87,161.75,75.03,556.29,70.28,29.4,513.43,14.27,90.78,25.37,14.02,21.45,15.98,18.25,45.11,3.55,61.92,59.29,2.63,18.2,4.83
